Tool,Execution Time (s),CPU Used (%),Memory Used (KB)
flake8,0.05,5,884
ruff,0.06,4,976
mypy,0.05,5,960
bandit,0.06,5,976
flake8,0.05,5,960
ruff,0.06,6,880
mypy,0.06,5,972
bandit,0.06,5,960
flake8,0.06,4,916
ruff,0.06,5,980
mypy,0.06,5,972
bandit,0.06,5,912
flake8,0.05,5,972
ruff,0.05,5,984
mypy,0.05,5,964
bandit,0.04,4,872
flake8,0.06,5,1056
ruff,0.06,5,968
mypy,0.04,4,976
bandit,0.05,5,984
flake8,0.05,5,872
ruff,0.06,4,916
mypy,0.04,4,884
bandit,0.05,5,948
flake8,0.05,5,984
ruff,0.04,4,964
mypy,0.04,4,964
bandit,0.05,5,968
flake8,0.05,5,916
ruff,0.04,4,944
mypy,0.04,4,968
bandit,0.06,5,948
flake8,0.05,5,1056
ruff,0.05,5,952
mypy,0.04,4,1060
bandit,0.06,5,948
flake8,0.05,5,964
ruff,0.05,5,1056
mypy,0.05,5,1056
bandit,0.06,6,984
flake8,0.06,4,948
ruff,0.04,4,944
mypy,0.05,5,968
bandit,0.05,5,948
flake8,0.06,5,948
ruff,0.05,5,892
mypy,0.05,5,892
bandit,0.06,5,976
flake8,0.05,5,904
ruff,0.04,4,896
mypy,0.06,4,972
bandit,0.05,5,964
flake8,0.06,5,972
ruff,0.08,5,916
mypy,0.05,5,976
bandit,0.06,6,972
flake8,0.06,4,972
ruff,0.06,4,972
mypy,0.06,4,888
bandit,0.04,4,964
flake8,0.06,4,916
ruff,0.04,4,944
mypy,0.05,5,984
bandit,0.05,5,920
flake8,0.05,5,876
ruff,0.05,5,956
mypy,0.06,5,968
bandit,0.06,5,912
flake8,0.05,5,968
ruff,0.04,4,884
mypy,0.06,5,972
bandit,0.06,4,972
flake8,0.06,6,884
ruff,0.05,5,892
mypy,0.05,5,964
bandit,0.05,5,968
flake8,0.05,5,964
ruff,0.05,5,916
mypy,0.05,5,876
bandit,0.05,5,964
flake8,0.05,5,948
ruff,0.06,5,968
mypy,0.05,5,972
bandit,0.05,5,872
flake8,0.05,5,980
ruff,0.06,5,892
mypy,0.04,4,888
bandit,0.05,5,968
flake8,0.06,6,896
ruff,0.05,5,964
mypy,0.06,5,892
bandit,0.07,5,972
flake8,0.05,5,964
ruff,0.05,5,964
mypy,0.05,5,984
bandit,0.04,4,956
flake8,0.05,5,1056
ruff,0.04,4,1056
mypy,0.05,5,1060
bandit,0.05,5,972
flake8,0.06,5,872
ruff,0.05,5,984
mypy,0.05,5,916
bandit,0.06,5,972
flake8,0.05,5,900
ruff,0.06,6,972
mypy,0.05,5,960
bandit,0.05,5,964
flake8,0.06,4,948
ruff,0.05,5,872
