Tool,Execution Time (s),CPU Used (%),Memory Used (KB)
bandit,0.07,6,896
flake8,0.08,6,884
ruff,0.07,6,984
mypy,0.06,5,916
bandit,0.06,7,888
flake8,0.07,5,972
ruff,0.07,6,884
mypy,0.06,6,976
bandit,0.06,5,984
flake8,0.06,6,980
ruff,0.05,3,972
mypy,0.06,4,980
bandit,0.06,4,896
flake8,0.07,5,976
ruff,0.07,5,980
mypy,0.06,5,952
bandit,0.05,5,972
flake8,0.07,5,880
ruff,0.07,6,1060
mypy,0.05,5,916
bandit,0.06,6,892
flake8,0.06,5,968
ruff,0.08,6,968
mypy,0.07,6,956
bandit,0.06,6,884
flake8,0.07,5,964
ruff,0.07,7,968
mypy,0.05,5,980
bandit,0.08,7,888
flake8,0.07,6,968
ruff,0.07,6,972
mypy,0.07,6,900
bandit,0.07,6,964
flake8,0.06,5,892
ruff,0.05,5,972
mypy,0.05,5,980
bandit,0.06,6,960
flake8,0.06,4,968
ruff,0.05,5,900
mypy,0.06,4,948
bandit,0.06,6,972
flake8,0.06,5,976
ruff,0.13,6,876
mypy,0.11,8,964
bandit,0.12,8,972
flake8,0.07,6,964
ruff,0.06,5,896
mypy,0.07,5,900
bandit,0.06,5,892
flake8,0.07,5,980
ruff,0.08,5,976
mypy,0.06,5,944
bandit,0.06,4,964
flake8,0.06,4,960
ruff,0.07,5,892
mypy,0.06,4,892
bandit,0.06,4,972
flake8,0.06,4,956
ruff,0.06,5,980
mypy,0.06,4,948
bandit,0.06,5,976
flake8,0.06,4,968
ruff,0.06,4,968
mypy,0.06,5,960
bandit,0.05,5,884
flake8,0.06,4,984
ruff,0.05,5,980
mypy,0.06,4,976
bandit,0.06,5,1060
flake8,0.05,5,976
ruff,0.06,7,960
mypy,0.05,3,892
bandit,0.06,5,944
flake8,0.05,5,876
ruff,0.06,4,880
mypy,0.05,5,944
bandit,0.06,4,964
flake8,0.06,4,872
ruff,0.06,4,900
mypy,0.06,5,976
bandit,0.06,4,904
flake8,0.06,6,956
ruff,0.06,5,956
mypy,0.05,5,984
bandit,0.05,5,972
flake8,0.06,4,960
ruff,0.06,6,972
mypy,0.05,5,972
bandit,0.06,5,968
flake8,0.06,4,972
ruff,0.06,4,976
mypy,0.06,5,984
bandit,0.06,6,960
flake8,0.06,5,960
